contig,position,read_count
Vibrio,13,14
Vibrio,57,6
Vibrio,62,3
Vibrio,65,5
Vibrio,86,0
Vibrio,150,11
Vibrio,192,0
Vibrio,213,3
Vibrio,220,21
Vibrio,238,10
Vibrio,245,11
Vibrio,259,5
Vibrio,283,8
Vibrio,370,2
Vibrio,381,1
Vibrio,420,5
Vibrio,423,8
Vibrio,429,6
Vibrio,435,3
Vibrio,448,3
Vibrio,479,5
Vibrio,501,4
Vibrio,531,0
Vibrio,604,6
Vibrio,670,5
Vibrio,675,2
Vibrio,703,0
Vibrio,737,4
Vibrio,762,0
Vibrio,848,0
Vibrio,850,0
Vibrio,861,0
Vibrio,876,0
Vibrio,889,0
Vibrio,906,0
Vibrio,950,0
Vibrio,1010,0
Vibrio,1016,2
Vibrio,1033,0
Vibrio,1068,0
Vibrio,1088,0
Vibrio,1121,0
Vibrio,1145,0
Vibrio,1171,0
Vibrio,1196,0
Vibrio,1227,0
Vibrio,1276,0
Vibrio,1287,0
Vibrio,1322,0
Vibrio,1337,0
Vibrio,1373,0
Vibrio,1376,0
Vibrio,1388,0
Vibrio,1401,0
Vibrio,1403,0
Vibrio,1412,0
Vibrio,1440,0
Vibrio,1443,4
Vibrio,1449,0
Vibrio,1482,0
Vibrio,1526,0
Vibrio,1532,0
Vibrio,1537,0
Vibrio,1563,0
Vibrio,1585,0
Vibrio,1590,4
Vibrio,1619,1
Vibrio,1633,0
Vibrio,1637,0
Vibrio,1647,0
Vibrio,1661,0
Vibrio,1688,5
Vibrio,1728,0
Vibrio,1731,0
Vibrio,1764,0
Vibrio,1767,0
Vibrio,1784,0
Vibrio,1807,0
Vibrio,1829,0
Vibrio,1842,0
Vibrio,1856,0
Vibrio,1865,0
Vibrio,1874,0
Vibrio,1883,0
Vibrio,1921,0
Vibrio,1954,0
Vibrio,1957,0
Vibrio,1968,0
Vibrio,2001,0
Vibrio,2039,0
Vibrio,2050,0
Vibrio,2189,0
Vibrio,2211,0
Vibrio,2215,0
Vibrio,2227,6
Vibrio,2247,0
Vibrio,2268,10
Vibrio,2276,0
Vibrio,2312,0
Vibrio,2317,0
Vibrio,2322,0
Vibrio,2326,0
Vibrio,2347,0
Vibrio,2350,0
Vibrio,2355,0
Vibrio,2414,0
Vibrio,2425,0
Vibrio,2430,0
Vibrio,2440,4
Vibrio,2463,15
Vibrio,2520,0
Vibrio,2530,4
Vibrio,2567,16
Vibrio,2645,0
Vibrio,2664,0
Vibrio,2699,2
Vibrio,2721,8
Vibrio,2750,0
Vibrio,2773,0
Vibrio,2793,3
Vibrio,2804,0
Vibrio,2821,4
Vibrio,2839,2
Vibrio,2850,0
Vibrio,2891,6
Vibrio,2923,13
Vibrio,2955,5
Vibrio,2962,15
Vibrio,2995,3
Vibrio,3054,0
Vibrio,3071,0
Vibrio,3106,7
Vibrio,3143,1
Vibrio,3150,6
Vibrio,3197,33
Vibrio,3220,0
Vibrio,3223,3
Vibrio,3238,0
Vibrio,3243,6
Vibrio,3311,1
Vibrio,3315,0
Vibrio,3328,7
Vibrio,3341,3
Vibrio,3432,7
Vibrio,3538,0
Vibrio,3541,4
Vibrio,3545,0
Vibrio,3604,0
Vibrio,3638,4
Vibrio,3647,0
Vibrio,3690,8
Vibrio,3713,0
Vibrio,3722,12
Vibrio,3726,5
Vibrio,3769,8
Vibrio,3771,0
Vibrio,3837,0
Vibrio,3899,2
Vibrio,3920,3
Vibrio,3938,2
Vibrio,3948,10
Vibrio,3966,3
Vibrio,4053,0
Vibrio,4071,0
Vibrio,4084,0
Vibrio,4091,2
Vibrio,4101,3
Vibrio,4138,2
Vibrio,4157,5
Vibrio,4193,5
Vibrio,4197,9
Vibrio,4199,3
Vibrio,4234,3
Vibrio,4286,7
Vibrio,4294,1
Vibrio,4296,4
Vibrio,4311,21
Vibrio,4314,3
Vibrio,4318,5
Vibrio,4325,3
Vibrio,4331,0
Vibrio,4460,0
Vibrio,4479,2
Vibrio,4489,0
Vibrio,4512,0
Vibrio,4529,0
Vibrio,4533,8
Vibrio,4547,0
Vibrio,4574,17
Vibrio,4581,0
Vibrio,4607,0
Vibrio,4743,2
Vibrio,4819,11
Vibrio,4929,3
Vibrio,4933,4
Vibrio,4994,5
Vibrio,5020,6
Vibrio,5030,3
Vibrio,5040,6
Vibrio,5045,2
Vibrio,5075,2
Vibrio,5113,0
Vibrio,5127,0
Vibrio,5196,3
Vibrio,5208,10
Vibrio,5231,8
Vibrio,5362,6
Vibrio,5417,10
Vibrio,5437,5
Vibrio,5443,1
Vibrio,5470,12
Vibrio,5475,0
Vibrio,5477,0
Vibrio,5483,2
Vibrio,5486,3
Vibrio,5490,0
Vibrio,5515,5
Vibrio,5550,3
Vibrio,5567,0
Vibrio,5580,0
Vibrio,5583,0
Vibrio,5594,2
Vibrio,5602,0
Vibrio,5614,0
Vibrio,5621,0
Vibrio,5654,0
Vibrio,5671,0
Vibrio,5679,0
Vibrio,5696,0
Vibrio,5720,0
Vibrio,5733,4
Vibrio,5782,0
Vibrio,5807,0
Vibrio,5843,0
Vibrio,5847,0
Vibrio,5879,0
Vibrio,5888,0
Vibrio,5896,0
Vibrio,5900,0
Vibrio,5909,0
Vibrio,5975,0
Vibrio,5978,0
Vibrio,5988,0
Vibrio,5993,0
Vibrio,6002,0
Vibrio,6020,0
Vibrio,6070,0
Vibrio,6107,11
Vibrio,6126,3
Vibrio,6178,0
Vibrio,6194,0
Vibrio,6239,0
Vibrio,6252,0
Vibrio,6271,0
Vibrio,6306,0
Vibrio,6308,0
Vibrio,6331,0
Vibrio,6401,0
Vibrio,6429,0
Vibrio,6440,0
Vibrio,6494,0
Vibrio,6498,0
Vibrio,6523,0
Vibrio,6571,0
Vibrio,6573,18
Vibrio,6596,0
Vibrio,6627,2
Vibrio,6637,0
Vibrio,6641,0
Vibrio,6647,2
Vibrio,6658,6
Vibrio,6682,4
Vibrio,6727,0
Vibrio,6746,6
Vibrio,6758,0
Vibrio,6761,3
Vibrio,6803,6
Vibrio,6840,0
Vibrio,6862,3
Vibrio,6909,4
Vibrio,6912,0
Vibrio,6952,10
Vibrio,6960,5
Vibrio,6999,7
Vibrio,7007,8
Vibrio,7020,1
Vibrio,7076,0
Vibrio,7079,2
